順位,投手名,チーム,カテゴリ,防御率,登板,勝利,敗北,セーブ,ホール,HP,完投,完封勝,無四球,勝率,打者,投球回,安打,本塁打,四球,故意四,死球,三振,暴投,ボーク,失点,自責点
1,近藤　一樹,(ヤ),HP上位,3.64,74,7,4,2,35,42,0,0,0,0.636,334,76.2,74,8,31,2,2,75,5,0,37,31
2,パットン,(デ),HP上位,2.57,58,5,1,0,33,38,0,0,0,0.833,235,56,53,3,16,4,3,67,0,0,16,16
3,桑原　謙太朗,(神),HP上位,2.68,62,5,3,0,32,37,0,0,0,0.625,239,57,52,6,12,2,4,65,1,0,19,17
4,ジャクソン,(広),HP上位,2.76,48,3,2,1,25,28,0,0,0,0.6,201,45.2,42,6,26,1,1,48,0,0,16,14
5,藤川　球児,(神),HP上位,2.32,53,5,3,2,21,26,0,0,0,0.625,229,54.1,29,3,37,4,1,67,2,0,20,14
5,三上　朋也,(デ),HP上位,3.05,65,1,1,0,25,26,0,0,0,0.5,239,56,55,3,20,4,3,40,2,0,19,19
7,澤村　拓一,(巨),HP上位,4.64,49,1,6,0,24,25,0,0,0,0.143,238,52.1,55,4,27,3,3,54,3,0,29,27
8,砂田　毅樹,(デ),HP上位,3.61,70,0,2,0,24,24,0,0,0,0,227,52.1,44,4,25,6,5,44,0,0,22,21
9,一岡　竜司,(広),HP上位,2.88,59,5,6,2,18,23,0,0,0,0.455,238,56.1,46,7,22,2,0,61,1,0,20,18
10,フランスア,(広),HP上位,1.66,47,3,4,1,19,22,0,0,0,0.429,267,65,38,3,34,1,2,81,0,2,16,12
10,三嶋　一輝,(デ),HP上位,3.97,60,7,2,0,15,22,0,0,0,0.778,292,68,61,8,31,7,2,82,6,0,30,30
